pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
338,663436,"Martin, Davis",338,100,0.297,0.23,0.305,0.527,0.385,0.389,0.29,22,74,89.6,16.7,2462,89.4,89.77,38,183,155,0.4,6.48,102,146,110,146,298,326,298
338,656427,"Flaherty, Jack",338,100,0.25,0.138,0.3,0.388,0.325,0.288,0.216,20,80,83,9.2,2316,88.1,89.13,43,160,178,1,6.89,103,143,109,144,297,320,297
335,680739,"Winder, Josh",335,100,0.28,0.195,0.271,0.476,0.346,0.335,0.261,23,82,88.5,21.1,2038,87.8,86.83,43,169,166,-1,5.64,103,150,113,147,296,327,291
328,592717,"Sanchez, Aaron",328,100,0.376,0.224,0.406,0.6,0.418,0.322,0.27,32,85,90.5,3.7,2266,86.8,87.78,33,169,159,1,6.9,102,150,113,146,297,322,290
327,621121,"McCullers Jr., Lance",327,100,0.159,0.13,0.188,0.29,0.257,0.279,0.187,11,69,87.6,12.8,2540,86.8,85.9,40,146,181,-0.9,5.86,102,148,113,148,290,324,293
324,641927,"Ober, Bailey",324,100,0.287,0.175,0.339,0.463,0.335,0.332,0.262,23,80,90.6,18.5,2215,86.1,87.21,53,190,134,1.1,7.05,98,150,116,146,298,329,294
324,661269,"Gutierrez, Vladimir",324,100,0.314,0.314,0.321,0.629,0.435,0.377,0.269,22,70,87.6,21.3,2189,86.6,86.68,23,134,190,0.1,6.4,109,148,117,145,293,319,295
323,666142,"Ragans, Cole",323,100,0.244,0.231,0.25,0.474,0.333,0.288,0.227,19,78,86.1,19.6,2313,86.6,86.11,42,173,150,-0.5,6.11,99,148,114,143,295,318,292
318,682051,"Hill, Garrett",318,100,0.253,0.2,0.254,0.453,0.335,0.361,0.278,19,75,88.7,18.4,2195,86.8,87.11,24,156,162,0.3,6.43,96,149,114,141,300,330,291
310,676265,"Abbott, Cory",310,100,0.274,0.242,0.289,0.516,0.384,0.352,0.21,17,62,89.5,23.5,2207,88.5,88.07,43,158,152,-0.4,6.15,102,151,120,147,298,316,302
309,669461,"Liberatore, Matthew",309,100,0.224,0.164,0.245,0.388,0.283,0.274,0.218,15,67,88.9,12.7,2226,87,87.23,32,138,171,0.2,6.41,101,146,113,144,303,323,296
300,528748,"Castellanos, Humberto",300,100,0.309,0.162,0.311,0.471,0.359,0.377,0.309,21,68,89,15.3,2041,85.6,84.86,19,139,161,-0.7,6.02,97,147,117,145,304,326,300
300,642232,"Yarbrough, Ryan",300,100,0.302,0.19,0.362,0.492,0.375,0.348,0.25,19,63,87.6,21.5,1998,80,80.05,32,154,146,0.1,6.49,99,147,113,143,302,321,291
